Stations_id;Bezugszeitraum;Datenquelle;Jan.;Feb.;März;Apr.;Mai;Jun.;Jul.;Aug.;Sept.;Okt.;Nov.;Dez.;Jahr;
         1;1991-2020;        46;      49.4;      42.9;      44.9;      48.5;      87.8;      90.3;     100.2;      85.4;      57.7;      57.3;      57.4;      55.6;     777.4;
         2;1991-2020;        46;      69.5;      65.7;      58.9;      47.3;      61.7;      73.1;      73.9;      79.4;      62.3;        65;      64.6;      79.6;     800.8;
         3;1991-2020;        46;      63.1;      60.5;      56.5;        47;      61.5;      71.3;      74.2;      77.6;      61.9;      64.6;      61.4;      74.4;     773.9;
         4;1991-2020;        46;      64.3;      63.6;      57.5;      47.4;      61.4;      73.1;      74.7;      77.1;      62.4;      64.9;      61.5;      76.3;     784.1;
         6;1991-2020;        45;      72.7;      59.6;      70.2;      48.4;      90.8;      82.2;      97.7;      81.7;      63.1;      70.8;      69.8;      86.5;     904.7;
         7;1991-2020;        46;      79.2;      67.2;      78.9;      59.5;      97.4;      98.2;     111.6;      91.8;      71.5;      80.4;        78;      95.3;    1008.9;
         8;1991-2020;        46;        47;      43.1;      44.2;      37.4;      61.1;      61.3;      68.7;      55.4;      48.4;        51;      48.4;      56.4;     622.5;
         9;1991-2020;        46;      50.7;      45.7;        48;      40.2;      60.1;      61.1;      67.8;      56.2;        50;      50.8;        50;      59.6;     640.2;
        10;1991-2020;        46;      55.7;        47;      51.6;      40.8;      69.1;      81.9;      83.9;      80.8;      58.2;      55.9;      55.8;      61.8;     742.5;
        12;1991-2020;        46;      58.3;      43.5;      46.9;      38.3;      54.5;      56.7;      72.7;      69.8;      53.9;      56.3;      52.5;      58.3;     661.8;
        13;1991-2020;        46;      48.2;      38.1;      45.3;      36.9;      60.6;      54.7;      68.5;      56.4;      53.2;      42.4;      47.6;      51.2;       603;
        14;1991-2020;        46;      65.3;      53.5;      49.6;      42.9;      52.9;      72.2;      90.9;      84.4;      85.3;      79.8;      72.6;      77.3;     826.7;
        15;1991-2020;        45;      50.5;        41;      48.8;      37.1;        64;      74.1;      77.3;      63.8;      47.2;      51.8;      51.6;      55.4;     668.3;
        16;1991-2020;        46;        55;      46.2;      52.6;      39.9;      67.5;      75.5;        76;      64.6;      49.5;      55.3;      54.9;      63.6;     700.5;
        17;1991-2020;        46;      53.3;      41.6;      48.5;      39.5;      70.3;      82.5;      86.8;        78;      59.1;      55.1;      53.1;      58.4;     726.3;
        18;1991-2020;        46;     126.8;      98.7;      87.6;      60.7;      82.8;      76.6;      85.3;      84.4;      79.3;      98.8;     106.3;     145.9;    1133.3;
        19;1991-2020;        45;      70.2;      57.7;      64.6;      48.9;      83.3;      78.5;      98.1;      78.1;        61;      71.4;      68.2;      84.7;     864.3;
        20;1991-2020;        45;        70;      59.2;      66.7;      45.7;      82.9;      81.8;      95.1;      73.1;      58.3;      69.4;      66.5;      83.5;     855.1;
        21;1991-2020;        45;        81;      77.7;      89.4;      88.6;     144.2;     158.6;     159.9;     156.7;     127.4;      98.6;     103.7;     108.2;      1407;
        22;1991-2020;        45;      70.4;      63.6;      69.4;      61.1;     100.3;      88.7;      96.7;      84.1;      76.1;      87.9;        85;      83.5;     973.5;
        23;1991-2020;        45;      68.3;      51.1;      51.4;      43.2;      59.9;      71.4;      81.6;      74.7;      62.3;        63;      58.8;      70.9;     769.3;
        24;1991-2020;        46;     112.2;      99.9;     136.3;      97.2;     159.8;     177.6;     167.3;     175.1;     136.1;     108.4;     106.3;     119.9;    1596.1;
        25;1991-2020;        46;      77.2;      61.2;      79.7;      61.5;     106.5;     103.9;       115;      89.6;      75.9;      82.4;      82.3;      90.5;    1025.5;
        26;1991-2020;        46;      62.3;      46.6;      47.8;      39.4;      51.3;      55.2;      80.2;        64;      55.8;      61.6;        56;      62.8;     682.9;
        27;1991-2020;        46;      97.8;      90.3;     125.3;     100.1;     163.7;     189.1;     183.2;       185;       141;     106.1;     108.3;     110.9;    1600.8;
        28;1991-2020;        46;      71.9;      63.6;      71.3;      50.4;        86;      86.9;      96.2;      81.3;        60;      74.6;      70.7;      87.8;     900.5;
        29;1991-2020;        45;        51;      42.5;      45.5;      35.9;      63.1;      60.9;      79.6;      58.3;      55.9;      54.4;      54.6;      60.6;       673;
        30;1991-2020;        46;        78;      64.7;      69.7;      45.2;      67.4;      66.1;      72.4;      65.8;      57.5;      70.8;      67.8;      92.7;     817.9;
        31;1991-2020;        46;      59.1;      46.2;      47.9;      38.8;        57;      63.9;      76.7;      66.5;      51.4;      52.9;        51;        57;     668.4;
        32;1991-2020;        46;      76.4;      52.6;      61.9;      46.5;      67.4;      61.5;        76;      68.4;      57.7;      67.6;      60.8;      76.4;     773.2;
        33;1991-2020;        46;      40.6;      31.3;        41;      33.1;        54;      54.7;      62.9;      53.9;      45.5;      40.8;      40.6;      43.5;       542;
        34;1991-2020;        46;      59.8;      54.3;      63.2;      47.2;      77.2;      70.9;      77.8;      69.1;      56.3;      68.1;      64.6;      73.6;     782.1;
        35;1991-2020;        46;      55.1;      46.1;      51.1;      38.2;      67.5;      79.5;      82.5;      84.3;      66.9;      55.8;      54.7;      62.6;     744.2;
        36;1991-2020;        46;     104.5;      79.4;        81;      54.7;      73.2;      77.7;     102.3;        94;      77.2;      89.4;      88.6;     106.5;    1028.3;
        37;1991-2020;        46;      50.3;      38.1;      52.3;      49.9;      88.2;      94.4;     101.5;      94.5;      63.2;      55.7;      52.8;      53.9;     794.7;
        38;1991-2020;        46;      78.5;      66.5;      62.1;      46.5;      57.2;      87.2;      81.4;      81.7;      75.7;        70;      75.2;        83;       865;
        39;1991-2020;        46;      69.4;      54.4;      54.1;      42.6;      55.5;      66.8;      84.7;      71.5;      64.6;      65.7;      59.7;      72.7;     761.7;
        40;1991-2020;        46;      46.9;      37.5;      41.6;      32.1;      49.7;      63.7;      79.9;        64;        52;      48.6;      47.5;      49.9;     613.5;
        41;1991-2020;        45;      63.8;      50.2;      50.5;      40.8;      56.2;      59.4;      76.7;      68.4;      55.5;      61.7;      54.9;      66.4;     711.8;
        42;1991-2020;        46;      63.1;      51.3;      52.1;        39;      52.4;      62.2;      76.7;      71.6;      62.4;      59.5;      59.9;      66.3;     716.6;
        43;1991-2020;        46;      73.3;      62.7;      57.4;      40.3;      56.2;      76.1;      87.1;        89;      84.9;      79.2;      78.1;      80.8;       865;
        44;1991-2020;        45;      69.4;      56.5;        55;      45.5;      57.9;      69.7;      85.4;      76.7;      68.3;      64.7;      64.8;      76.6;     806.6;
        45;1991-2020;        46;      55.4;      44.7;        47;      39.7;      63.6;      63.1;      71.9;        58;      50.8;      55.5;      55.3;        56;     660.9;
        46;1991-2020;        45;      57.1;        46;      51.7;      39.9;      72.4;      87.7;      93.1;      77.5;      62.3;        58;        57;      62.5;     774.9;
        47;1991-2020;        46;      59.4;      50.4;      55.1;      41.6;      64.2;      65.5;      79.7;      57.6;        54;      63.9;      60.4;      74.1;       726;
        48;1991-2020;        46;        63;      47.1;      53.3;      39.4;      57.7;      72.1;      78.5;      63.7;      64.9;      58.4;      60.6;      70.5;     729.3;
        50;1991-2020;        46;     127.8;      91.1;       100;      66.2;        93;      88.9;     119.8;      99.8;     100.8;     106.4;     106.3;     127.3;    1227.4;
        51;1991-2020;        46;      72.1;      58.3;      52.1;      38.9;      53.6;      71.5;      77.7;      78.3;      62.2;      65.5;      63.6;      71.9;     765.7;
        52;1991-2020;        46;      72.2;      59.4;      60.3;      42.8;      60.7;      75.6;      79.6;      85.8;        66;      67.3;      65.1;      79.2;       814;
        53;1991-2020;        45;        49;        37;      42.8;      30.2;      53.1;      56.7;      78.2;      56.8;      47.7;        43;      41.4;      45.2;     580.1;
        54;1991-2020;        46;      73.4;      49.4;      48.6;      41.4;      53.5;      73.2;      85.8;      93.8;      86.3;      90.8;        78;        85;     859.1;
        55;1991-2020;        43;        59;        53;        72;        68;       121;       139;       141;       143;        98;        75;        67;        65;      1101;
        56;1991-2020;        46;      77.1;      48.6;      67.3;      54.4;      96.3;     104.4;       103;     115.8;      60.7;      62.2;      62.6;      70.7;     923.1;
        57;1991-2020;        45;      57.7;      43.3;        55;      48.9;      88.1;      93.8;       102;      94.4;      66.8;      60.1;      58.4;      63.4;     834.6;
        58;1991-2020;        46;      66.1;      57.2;      69.3;      68.8;     112.3;     118.1;     126.7;     118.4;      82.7;      72.9;      70.6;      77.5;    1040.4;
        59;1991-2020;        46;        54;      45.8;      55.3;      46.8;        80;      90.1;      92.6;      85.7;      63.4;        59;      57.2;      59.6;     789.4;
        60;1991-2020;        46;      53.5;        46;      55.4;      51.7;      89.1;      85.8;     102.2;      90.9;        65;      60.9;      59.1;      62.8;     822.3;
        61;1991-2020;        46;      50.2;      43.1;      50.3;      37.7;      72.5;      83.9;      81.7;      75.4;      59.6;      51.9;      51.8;      58.2;     716.3;
        62;1991-2020;        46;       160;       141;     145.5;     127.9;     164.7;     143.7;     143.1;     134.8;     135.4;     157.5;     175.3;     201.8;    1830.6;
        63;1991-2020;        45;      89.8;      81.4;      92.5;      80.3;     126.8;     144.7;     150.1;     141.5;      96.4;      85.3;        88;     101.8;    1285.9;
        64;1991-2020;        45;      44.7;      30.3;      37.7;      28.9;      55.3;      53.5;      68.9;      59.2;      51.7;      40.1;      43.9;      43.6;     568.1;
        65;1991-2020;        46;      68.7;      57.7;      74.5;        62;       111;     121.3;     130.7;     119.5;      86.9;      74.3;      71.2;      72.4;    1050.2;
        66;1991-2020;        46;      79.9;      65.2;      58.4;      44.9;      59.1;      83.5;      99.8;     102.7;      92.7;      92.3;      80.6;      93.5;     952.4;
        67;1991-2020;        46;      58.4;      44.6;      53.8;      36.9;      61.9;      81.9;      80.1;      67.5;      68.9;      59.6;      56.4;      67.3;     737.2;
        68;1991-2020;        46;      41.8;      33.7;      43.3;      32.8;      52.1;      63.1;      77.4;      60.5;      51.6;      43.3;        46;      44.4;     589.9;
