lat,lon
83.75,-37.75
83.75,-37.25
83.75,-36.75
83.75,-36.25
83.75,-35.75
83.75,-35.25
83.75,-34.75
83.75,-34.25
83.75,-33.75
83.75,-33.25
83.75,-32.75
83.75,-32.25
83.75,-31.75
83.75,-31.25
83.75,-30.75
83.75,-30.25
83.75,-29.75
83.75,-29.25
83.75,-28.75
83.25,-72.25
83.25,-71.75
83.25,-70.75
83.25,-70.25
83.25,-69.75
83.25,-46.75
83.25,-46.25
83.25,-45.75
83.25,-45.25
83.25,-44.75
83.25,-44.25
83.25,-43.75
83.25,-43.25
83.25,-42.75
83.25,-42.25
83.25,-41.75
83.25,-41.25
83.25,-40.75
83.25,-40.25
83.25,-39.75
83.25,-39.25
83.25,-38.75
83.25,-38.25
83.25,-37.75
83.25,-37.25
83.25,-36.75
83.25,-36.25
83.25,-35.75
83.25,-35.25
83.25,-34.75
83.25,-34.25
83.25,-33.75
83.25,-33.25
83.25,-32.75
83.25,-32.25
83.25,-31.75
83.25,-31.25
83.25,-30.75
83.25,-30.25
83.25,-29.75
83.25,-29.25
83.25,-28.75
83.25,-28.25
83.25,-27.75
83.25,-27.25
83.25,-26.75
83.25,-26.25
83.25,-25.75
83.25,-25.25
83.25,-24.75
82.75,-79.25
82.75,-78.75
82.75,-78.25
82.75,-77.75
82.75,-77.25
82.75,-76.75
82.75,-76.25
82.75,-75.75
82.75,-75.25
82.75,-74.75
82.75,-74.25
82.75,-73.75
82.75,-73.25
82.75,-72.75
82.75,-72.25
82.75,-71.75
82.75,-71.25
82.75,-70.75
82.75,-70.25
82.75,-69.75
82.75,-69.25
82.75,-68.75
82.75,-68.25
82.75,-67.75
82.75,-67.25
82.75,-66.75
82.75,-66.25
82.75,-65.75
82.75,-65.25
82.75,-64.75
82.75,-64.25
82.75,-63.75
82.75,-63.25
82.75,-62.25
82.75,-49.75
82.75,-49.25
82.75,-48.75
82.75,-48.25
82.75,-47.75
82.75,-47.25
82.75,-46.75
82.75,-46.25
82.75,-45.75
82.75,-45.25
82.75,-44.75
82.75,-44.25
82.75,-43.75
82.75,-43.25
82.75,-42.75
82.75,-42.25
82.75,-41.75
82.75,-41.25
82.75,-40.75
82.75,-40.25
82.75,-39.75
82.75,-39.25
82.75,-38.75
82.75,-38.25
82.75,-37.75
82.75,-37.25
82.75,-36.75
82.75,-36.25
82.75,-35.75
82.75,-35.25
82.75,-34.75
82.75,-34.25
82.75,-33.75
82.75,-33.25
82.75,-32.75
82.75,-32.25
82.75,-31.75
82.75,-31.25
82.75,-30.75
82.75,-30.25
82.75,-29.75
82.75,-29.25
82.75,-28.75
82.75,-28.25
82.75,-27.75
82.75,-27.25
82.75,-26.75
82.75,-26.25
82.75,-25.75
82.75,-25.25
82.75,-24.75
82.75,-24.25
82.75,-23.75
82.75,-23.25
82.75,-22.75
82.75,-22.25
82.75,-21.75
82.75,-21.25
82.25,-78.25
82.25,-77.75
82.25,-77.25
82.25,-76.75
82.25,-76.25
82.25,-75.75
82.25,-75.25
82.25,-74.75
82.25,-74.25
82.25,-73.75
82.25,-73.25
82.25,-72.75
82.25,-72.25
82.25,-71.75
82.25,-71.25
82.25,-70.75
82.25,-70.25
82.25,-69.75
82.25,-69.25
82.25,-68.75
82.25,-68.25
82.25,-67.75
82.25,-67.25
82.25,-66.75
82.25,-66.25
82.25,-65.75
82.25,-65.25
82.25,-64.75
82.25,-64.25
82.25,-63.75
82.25,-63.25
82.25,-62.75
82.25,-62.25
82.25,-61.75
82.25,-61.25
82.25,-59.75
82.25,-58.75
82.25,-58.25
82.25,-57.75
82.25,-57.25
82.25,-56.75
82.25,-56.25
82.25,-55.75
82.25,-55.25
82.25,-54.75
82.25,-54.25
82.25,-53.75
82.25,-53.25
82.25,-52.75
82.25,-52.25
82.25,-51.75
82.25,-51.25
82.25,-50.75
82.25,-50.25
82.25,-49.75
82.25,-49.25
82.25,-48.75
82.25,-48.25
82.25,-47.75
82.25,-47.25
82.25,-46.75
82.25,-46.25
82.25,-45.75
82.25,-45.25
82.25,-44.75
82.25,-44.25
82.25,-43.75
82.25,-43.25
82.25,-42.75
82.25,-42.25
82.25,-41.75
82.25,-41.25
82.25,-40.75
82.25,-40.25
82.25,-39.75
82.25,-39.25
82.25,-38.75
82.25,-38.25
82.25,-37.75
82.25,-37.25
82.25,-36.75
82.25,-36.25
82.25,-35.75
82.25,-35.25
82.25,-34.75
82.25,-34.25
82.25,-33.75
82.25,-33.25
82.25,-32.75
82.25,-32.25
82.25,-31.75
82.25,-31.25
82.25,-30.75
82.25,-30.25
82.25,-29.75
82.25,-29.25
82.25,-28.75
82.25,-28.25
82.25,-27.75
82.25,-27.25
82.25,-26.75
