wkt_geom;Value;Count;World_Lan1;World_Mois;World_Temp;World_Lan2;LF_ClassNa;LC_ClassNa;Temp_Class;Moisture_C;Temp_Moist;W_Ecosystm
NULL;1;41603050;4;3;6;6;Plains;Sparsely or Non-vegetated;Polar;Moist;Polar Moist;Polar Moist Sparsely or Non-vegetated on Plains
NULL;2;96589870;4;3;6;8;Plains;Snow and Ice;Polar;Moist;Polar Moist;Polar Moist Snow and Ice on Plains
NULL;3;1262986;1;2;6;8;Mountains;Snow and Ice;Polar;Dry;Polar Dry;Polar Dry Snow and Ice on Mountains
NULL;4;10775926;1;2;6;6;Mountains;Sparsely or Non-vegetated;Polar;Dry;Polar Dry;Polar Dry Sparsely or Non-vegetated on Mountains
NULL;5;41915363;1;3;6;6;Mountains;Sparsely or Non-vegetated;Polar;Moist;Polar Moist;Polar Moist Sparsely or Non-vegetated on Mountains
NULL;6;14230437;1;3;6;8;Mountains;Snow and Ice;Polar;Moist;Polar Moist;Polar Moist Snow and Ice on Mountains
NULL;7;1227825;3;2;6;6;Tablelands;Sparsely or Non-vegetated;Polar;Dry;Polar Dry;Polar Dry Sparsely or Non-vegetated on Tablelands
NULL;8;6375;3;2;6;8;Tablelands;Snow and Ice;Polar;Dry;Polar Dry;Polar Dry Snow and Ice on Tablelands
NULL;9;17148;4;2;6;8;Plains;Snow and Ice;Polar;Dry;Polar Dry;Polar Dry Snow and Ice on Plains
NULL;10;15151477;3;3;6;6;Tablelands;Sparsely or Non-vegetated;Polar;Moist;Polar Moist;Polar Moist Sparsely or Non-vegetated on Tablelands
NULL;11;4182414;3;3;6;8;Tablelands;Snow and Ice;Polar;Moist;Polar Moist;Polar Moist Snow and Ice on Tablelands
NULL;12;3801846;2;2;6;6;Hills;Sparsely or Non-vegetated;Polar;Dry;Polar Dry;Polar Dry Sparsely or Non-vegetated on Hills
NULL;13;14377;2;2;6;8;Hills;Snow and Ice;Polar;Dry;Polar Dry;Polar Dry Snow and Ice on Hills
NULL;14;11027239;4;2;6;6;Plains;Sparsely or Non-vegetated;Polar;Dry;Polar Dry;Polar Dry Sparsely or Non-vegetated on Plains
NULL;15;2280770;2;3;6;8;Hills;Snow and Ice;Polar;Moist;Polar Moist;Polar Moist Snow and Ice on Hills
NULL;16;24292806;2;3;6;6;Hills;Sparsely or Non-vegetated;Polar;Moist;Polar Moist;Polar Moist Sparsely or Non-vegetated on Hills
NULL;17;18446844;1;2;6;4;Mountains;Grassland;Polar;Dry;Polar Dry;Polar Dry Grassland on Mountains
NULL;18;15402565;1;3;6;4;Mountains;Grassland;Polar;Moist;Polar Moist;Polar Moist Grassland on Mountains
NULL;19;1771826;4;3;6;2;Plains;Shrubland;Polar;Moist;Polar Moist;Polar Moist Shrubland on Plains
NULL;20;261501;2;3;6;2;Hills;Shrubland;Polar;Moist;Polar Moist;Polar Moist Shrubland on Hills
NULL;21;1294672;2;3;6;4;Hills;Grassland;Polar;Moist;Polar Moist;Polar Moist Grassland on Hills
NULL;22;2268722;4;3;6;4;Plains;Grassland;Polar;Moist;Polar Moist;Polar Moist Grassland on Plains
NULL;23;1144038;2;2;6;4;Hills;Grassland;Polar;Dry;Polar Dry;Polar Dry Grassland on Hills
NULL;24;178638;3;3;6;2;Tablelands;Shrubland;Polar;Moist;Polar Moist;Polar Moist Shrubland on Tablelands
NULL;25;4637855;1;3;6;2;Mountains;Shrubland;Polar;Moist;Polar Moist;Polar Moist Shrubland on Mountains
NULL;26;397776;3;3;6;4;Tablelands;Grassland;Polar;Moist;Polar Moist;Polar Moist Grassland on Tablelands
NULL;27;526892;4;3;6;3;Plains;Forest;Polar;Moist;Polar Moist;Polar Moist Forest on Plains
NULL;28;164495;2;3;6;3;Hills;Forest;Polar;Moist;Polar Moist;Polar Moist Forest on Hills
NULL;29;4434257;1;3;6;3;Mountains;Forest;Polar;Moist;Polar Moist;Polar Moist Forest on Mountains
NULL;30;77718;3;3;6;3;Tablelands;Forest;Polar;Moist;Polar Moist;Polar Moist Forest on Tablelands
NULL;31;1387339;4;2;6;4;Plains;Grassland;Polar;Dry;Polar Dry;Polar Dry Grassland on Plains
NULL;32;158892;2;2;6;2;Hills;Shrubland;Polar;Dry;Polar Dry;Polar Dry Shrubland on Hills
NULL;33;1657;1;3;6;5;Mountains;Settlement;Polar;Moist;Polar Moist;Polar Moist Settlement on Mountains
NULL;34;2436767;4;2;6;2;Plains;Shrubland;Polar;Dry;Polar Dry;Polar Dry Shrubland on Plains
NULL;35;22385;3;2;6;2;Tablelands;Shrubland;Polar;Dry;Polar Dry;Polar Dry Shrubland on Tablelands
NULL;36;888262;4;2;6;3;Plains;Forest;Polar;Dry;Polar Dry;Polar Dry Forest on Plains
NULL;37;11560;2;3;6;1;Hills;Cropland;Polar;Moist;Polar Moist;Polar Moist Cropland on Hills
NULL;38;352824;3;2;6;4;Tablelands;Grassland;Polar;Dry;Polar Dry;Polar Dry Grassland on Tablelands
NULL;39;1587463;1;3;6;1;Mountains;Cropland;Polar;Moist;Polar Moist;Polar Moist Cropland on Mountains
NULL;40;14112;4;3;6;1;Plains;Cropland;Polar;Moist;Polar Moist;Polar Moist Cropland on Plains
NULL;41;1565767;1;2;6;2;Mountains;Shrubland;Polar;Dry;Polar Dry;Polar Dry Shrubland on Mountains
NULL;42;29462;3;3;6;1;Tablelands;Cropland;Polar;Moist;Polar Moist;Polar Moist Cropland on Tablelands
NULL;43;17402;2;2;6;3;Hills;Forest;Polar;Dry;Polar Dry;Polar Dry Forest on Hills
NULL;44;5518;3;2;6;3;Tablelands;Forest;Polar;Dry;Polar Dry;Polar Dry Forest on Tablelands
NULL;45;33479688;4;3;1;6;Plains;Sparsely or Non-vegetated;Boreal;Moist;Boreal Moist;Boreal Moist Sparsley or Non vegetated on Plains
NULL;46;5681035;4;3;1;4;Plains;Grassland;Boreal;Moist;Boreal Moist;Boreal Moist Grassland on Plains
NULL;47;15011571;2;3;1;6;Hills;Sparsely or Non-vegetated;Boreal;Moist;Boreal Moist;Boreal Moist Sparsley or Non vegetated on Hills
NULL;48;5191941;2;3;1;4;Hills;Grassland;Boreal;Moist;Boreal Moist;Boreal Moist Grassland on Hills
NULL;49;10221719;2;3;1;2;Hills;Shrubland;Boreal;Moist;Boreal Moist;Boreal Moist Shrubland on Hills
NULL;50;69987067;2;3;1;3;Hills;Forest;Boreal;Moist;Boreal Moist;Boreal Moist Forest on Hills
NULL;51;21548405;1;3;1;6;Mountains;Sparsely or Non-vegetated;Boreal;Moist;Boreal Moist;Boreal Moist Sparsely or Non-vegetated on Mountains
NULL;52;36929178;4;3;1;2;Plains;Shrubland;Boreal;Moist;Boreal Moist;Boreal Moist Shrubland on Plains
NULL;53;93810669;4;3;1;3;Plains;Forest;Boreal;Moist;Boreal Moist;Boreal Moist Forest on Plains
NULL;54;24442742;1;3;1;2;Mountains;Shrubland;Boreal;Moist;Boreal Moist;Boreal Moist Shrubland on Mountains
NULL;55;108821462;1;3;1;3;Mountains;Forest;Boreal;Moist;Boreal Moist;Boreal Moist Forest on Mountains
NULL;56;11790914;1;3;1;4;Mountains;Grassland;Boreal;Moist;Boreal Moist;Boreal Moist Grassland on Mountains
NULL;57;7363111;3;3;1;6;Tablelands;Sparsely or Non-vegetated;Boreal;Moist;Boreal Moist;Boreal Moist Sparsely or Non-vegetated on Tablelands
NULL;58;3741466;3;3;1;2;Tablelands;Shrubland;Boreal;Moist;Boreal Moist;Boreal Moist Shrubland on Tablelands
NULL;59;1426915;3;3;1;4;Tablelands;Grassland;Boreal;Moist;Boreal Moist;Boreal Moist Grassland on Tablelands
